trip_id,driver_id,rider_id,vendor_id,city,pickup_loc,drop_loc,distance_km,pickup_time,num_passengers,rate_code,payment_type,drop_time,fare_amount,driver_tip,toll_amt,mta_tax,total_amount,rating,stored_flag
TRP00000001,DRV001310,RDR002615,1,Chennai,63,4,4.75,2024-08-17 14:00:00,1,1,Cash,2024-08-17 14:26:00,101.6,5.0,31.12,5.08,142.8,4.9,Y
TRP00000002,DRV000229,RDR003614,1,Mumbai,56,66,25.08,2024-08-14 18:24:00,2,1,Cash,2024-08-14 19:50:00,370.46,53.28,0.0,18.52,442.26,4.6,Y
TRP00000003,DRV000052,RDR000964,1,Ahmedabad,46,99,11.53,2024-12-02 00:54:00,1,1,UPI,2024-12-02 01:38:00,160.71,0.0,0.0,8.04,168.75,,Y
TRP00000004,DRV001519,RDR002234,1,Mumbai,44,3,8.3,2024-12-15 12:05:00,1,3,Cash,2024-12-15 12:44:00,145.43,6.78,14.34,7.27,173.82,4.8,Y
TRP00000005,DRV000564,RDR001224,1,Hyderabad,33,54,2.36,2024-12-09 13:37:00,2,1,Wallet,2024-12-09 13:56:00,64.07,6.31,0.0,3.2,73.58,3.4,Y
TRP00000006,DRV000502,RDR001291,2,Hyderabad,57,84,2.36,2024-05-21 03:13:00,1,1,UPI,2024-05-21 03:30:00,90.28,11.27,0.0,4.51,106.06,4.2,Y
TRP00000007,DRV000458,RDR002242,2,Bangalore,51,28,1.48,2024-07-05 03:10:00,1,1,Free Ride,2024-07-05 03:27:00,40.73,3.07,0.0,2.04,45.84,4.7,Y
TRP00000008,DRV000286,RDR000938,2,Delhi,9,10,17.09,2024-10-04 08:50:00,1,1,UPI,2024-10-04 09:48:00,264.32,1.33,0.0,13.22,278.87,4.0,Y
TRP00000009,DRV001509,RDR000125,2,Chennai,57,94,8.35,2024-10-11 06:24:00,1,4,Wallet,2024-10-11 06:58:00,153.75,0.0,0.0,7.69,161.44,4.7,N
TRP00000010,DRV000210,RDR004585,1,Ahmedabad,17,31,10.85,2024-11-03 10:49:00,1,1,Credit Card,2024-11-03 11:26:00,192.7,27.33,0.0,9.64,229.67,4.0,Y
TRP00000011,DRV001386,RDR004212,2,Bangalore,57,76,1.17,2024-07-03 18:53:00,2,1,Cash,2024-07-03 19:09:00,47.66,4.02,0.0,2.38,54.06,3.4,N
TRP00000012,DRV001517,RDR000839,1,Hyderabad,46,43,29.03,2024-07-05 17:10:00,1,1,Free Ride,2024-07-05 18:45:00,411.58,0.0,0.0,20.58,432.16,4.2,Y
TRP00000013,DRV001828,RDR001693,2,Hyderabad,61,79,15.29,2024-09-05 14:47:00,1,1,Credit Card,2024-09-05 15:41:00,251.4,19.86,0.0,12.57,283.83,3.6,Y
TRP00000014,DRV001117,RDR004445,2,Ahmedabad,29,84,2.91,2024-02-01 22:26:00,1,2,Wallet,2024-02-01 22:40:00,81.7,10.23,0.0,4.08,96.01,4.3,Y
TRP00000015,DRV000179,RDR002870,1,Bangalore,44,38,2.61,2024-10-25 19:54:00,1,1,Cash,2024-10-25 20:11:00,74.32,0.0,24.87,3.72,102.91,4.4,Y
TRP00000016,DRV001210,RDR004501,2,Mumbai,42,31,2.62,2024-03-08 04:26:00,1,1,Cash,2024-03-08 04:46:00,54.92,0.0,45.22,2.75,102.89,4.8,Y
TRP00000017,DRV000865,RDR002610,2,Chennai,40,42,3.9,2024-11-02 21:07:00,3,1,Wallet,2024-11-02 21:28:00,76.85,0.0,40.98,3.84,121.67,4.6,Y
TRP00000018,DRV000066,RDR002221,2,Kolkata,72,58,6.95,2024-07-10 12:36:00,1,1,UPI,2024-07-10 13:09:00,152.48,15.65,0.0,7.62,175.75,3.2,Y
TRP00000019,DRV000062,RDR001160,1,Delhi,14,70,5.52,2024-12-10 21:57:00,2,2,Free Ride,2024-12-10 22:21:00,98.7,0.69,0.0,4.94,104.33,3.5,Y
TRP00000020,DRV000192,RDR002321,1,Pune,37,96,3.75,2024-05-08 19:01:00,6,1,UPI,2024-05-08 19:26:00,97.62,0.0,0.0,4.88,102.5,,Y
TRP00000021,DRV000448,RDR004703,1,Ahmedabad,60,84,8.57,2024-08-10 00:54:00,3,1,Wallet,2024-08-10 01:27:00,159.77,5.94,10.13,7.99,183.83,3.6,Y
TRP00000022,DRV000477,RDR002006,2,Pune,13,35,2.2,2024-09-25 20:11:00,3,2,Wallet,2024-09-25 20:28:00,88.34,0.0,0.0,4.42,92.76,4.1,Y
TRP00000023,DRV001035,RDR001404,2,Ahmedabad,24,42,3.76,2024-09-11 13:07:00,3,1,Free Ride,2024-09-11 13:29:00,107.88,0.16,0.0,5.39,113.43,3.6,Y
TRP00000024,DRV001233,RDR000584,2,Mumbai,50,80,4.65,2024-01-10 00:10:00,2,1,Free Ride,2024-01-10 00:28:00,95.76,10.62,20.24,4.79,131.41,4.6,Y
TRP00000025,DRV000055,RDR002551,2,Pune,53,3,5.87,2024-12-30 07:22:00,1,5,Wallet,2024-12-30 07:49:00,132.62,13.47,0.0,6.63,152.72,4.6,Y
TRP00000026,DRV001150,RDR002775,1,Hyderabad,55,96,13.3,2024-02-09 21:08:00,1,5,Credit Card,2024-02-09 21:57:00,214.33,3.96,32.39,10.72,261.4,3.9,Y
TRP00000027,DRV000408,RDR004429,1,Pune,14,61,2.78,2024-01-14 19:48:00,1,5,UPI,2024-01-14 20:11:00,62.58,2.77,0.0,3.13,68.48,5.0,Y
TRP00000028,DRV001467,RDR003635,1,Hyderabad,44,27,6.78,2024-05-12 11:37:00,2,1,Wallet,2024-05-12 12:12:00,120.73,0.0,0.0,6.04,126.77,4.4,N
TRP00000029,DRV001331,RDR000416,1,Bangalore,88,89,8.18,2024-12-28 12:37:00,2,1,Free Ride,2024-12-28 13:09:00,160.35,0.0,30.69,8.02,199.06,,Y
TRP00000030,DRV001437,RDR001066,1,Pune,32,94,1.38,2024-02-26 10:49:00,2,1,UPI,2024-02-26 11:05:00,73.34,0.0,0.0,3.67,77.01,3.6,Y
TRP00000031,DRV001117,RDR000238,1,Hyderabad,75,16,8.48,2024-08-28 06:45:00,1,1,Wallet,2024-08-28 07:23:00,152.46,0.0,0.0,7.62,160.08,4.9,Y
TRP00000032,DRV000860,RDR003857,1,Mumbai,28,20,2.5,2024-05-13 19:16:00,1,1,UPI,2024-05-13 19:30:00,96.48,11.67,0.0,4.82,112.97,4.7,Y
TRP00000033,DRV000452,RDR000414,1,Delhi,99,67,1.54,2024-04-09 17:22:00,1,3,Free Ride,2024-04-09 17:40:00,43.9,3.34,0.0,2.19,49.43,3.8,Y
TRP00000034,DRV000920,RDR000868,2,Delhi,74,21,24.79,2024-11-21 21:27:00,1,3,UPI,2024-11-21 22:47:00,361.41,2.28,0.0,18.07,381.76,4.5,N
TRP00000035,DRV001207,RDR003143,2,Bangalore,96,10,27.97,2024-04-12 06:30:00,2,1,UPI,2024-04-12 08:03:00,397.13,43.53,0.0,19.86,460.52,4.1,Y
TRP00000036,DRV000570,RDR000441,2,Bangalore,17,82,14.22,2024-07-02 18:55:00,4,1,Cash,2024-07-02 19:51:00,211.46,0.0,0.0,10.57,222.03,3.6,Y
TRP00000037,DRV001658,RDR000706,2,Mumbai,78,13,3.91,2024-09-19 22:46:00,2,1,Free Ride,2024-09-19 23:07:00,115.83,0.0,38.8,5.79,160.42,,Y
TRP00000038,DRV001781,RDR003494,1,Mumbai,35,10,1.82,2024-05-17 18:44:00,4,3,Free Ride,2024-05-17 18:54:00,75.18,1.1,0.0,3.76,80.04,4.5,Y
TRP00000039,DRV000014,RDR003211,1,Chennai,23,24,10.22,2024-02-13 07:46:00,2,5,Cash,2024-02-13 08:28:00,189.2,0.0,0.0,9.46,198.66,,Y
TRP00000040,DRV001555,RDR001467,2,Chennai,60,51,5.64,2024-10-03 23:30:00,1,1,UPI,2024-10-03 23:52:00,99.44,0.0,35.15,4.97,139.56,3.1,Y
TRP00000041,DRV001651,RDR004884,1,Bangalore,91,40,2.04,2024-12-27 16:31:00,1,3,Credit Card,2024-12-27 16:48:00,78.68,3.68,0.0,3.93,86.29,3.2,Y
TRP00000042,DRV000327,RDR004856,1,Pune,7,82,6.47,2024-01-02 03:35:00,1,4,Free Ride,2024-01-02 04:01:00,102.24,0.0,0.0,5.11,107.35,,Y
TRP00000043,DRV001430,RDR003653,1,Chennai,18,20,1.28,2024-09-21 02:40:00,1,1,Cash,2024-09-21 02:55:00,67.29,7.77,0.0,3.36,78.42,4.5,Y
TRP00000044,DRV000866,RDR002914,1,Hyderabad,9,13,20.2,2024-12-05 22:54:00,4,1,Cash,2024-12-06 00:07:00,267.76,0.0,0.0,13.39,281.15,4.1,Y
TRP00000045,DRV000697,RDR002560,1,Hyderabad,45,85,3.4,2024-12-26 21:05:00,1,4,Wallet,2024-12-26 21:25:00,93.64,0.0,0.0,4.68,98.32,,N
TRP00000046,DRV000570,RDR002723,2,Hyderabad,8,66,9.69,2024-03-02 23:14:00,3,5,Wallet,2024-03-02 23:52:00,168.25,0.0,12.81,8.41,189.47,3.1,Y
TRP00000047,DRV000319,RDR001624,1,Pune,83,11,3.99,2024-04-29 15:39:00,1,1,Free Ride,2024-04-29 16:02:00,111.72,0.0,0.0,5.59,117.31,4.7,Y
TRP00000048,DRV000441,RDR004371,2,Ahmedabad,13,41,6.87,2024-06-15 21:59:00,1,1,Credit Card,2024-06-15 22:28:00,112.28,12.52,0.0,5.61,130.41,4.8,N
TRP00000049,DRV001961,RDR000644,1,Pune,27,33,7.33,2024-03-22 06:12:00,2,5,Free Ride,2024-03-22 06:40:00,136.67,0.0,0.0,6.83,143.5,3.6,Y
TRP00000050,DRV001564,RDR003815,2,Mumbai,33,34,2.64,2024-02-18 08:15:00,2,3,Cash,2024-02-18 08:36:00,72.09,0.0,49.23,3.6,124.92,3.9,Y
TRP00000051,DRV000690,RDR004652,1,Bangalore,29,99,28.94,2024-03-26 08:05:00,3,1,Cash,2024-03-26 09:36:00,392.5,0.0,0.0,19.62,412.12,4.0,Y
TRP00000052,DRV000210,RDR001080,1,Pune,82,64,12.94,2024-11-18 14:00:00,1,1,Wallet,2024-11-18 14:48:00,184.23,19.72,0.0,9.21,213.16,4.4,Y
TRP00000053,DRV000190,RDR000762,1,Ahmedabad,32,71,23.44,2024-12-08 14:56:00,1,2,Cash,2024-12-08 16:18:00,322.13,0.0,0.0,16.11,338.24,5.0,Y
TRP00000054,DRV000779,RDR003837,2,Delhi,73,65,19.02,2024-02-20 04:31:00,1,3,UPI,2024-02-20 05:41:00,272.98,7.95,47.4,13.65,341.98,4.6,N
TRP00000055,DRV000199,RDR000797,1,Hyderabad,7,75,8.29,2024-09-14 15:49:00,3,1,UPI,2024-09-14 16:27:00,145.77,19.32,0.0,7.29,172.38,,Y
TRP00000056,DRV000736,RDR003733,2,Pune,56,28,21.4,2024-11-04 13:15:00,1,3,Free Ride,2024-11-04 14:29:00,300.7,23.48,21.37,15.04,360.59,3.5,Y
TRP00000057,DRV001736,RDR002543,1,Mumbai,21,99,1.74,2024-05-05 23:32:00,1,4,Wallet,2024-05-05 23:52:00,69.18,0.0,16.25,3.46,88.89,4.3,Y
TRP00000058,DRV000705,RDR003813,2,Kolkata,61,60,2.75,2024-09-05 19:41:00,1,1,Free Ride,2024-09-05 20:02:00,59.06,0.0,0.0,2.95,62.01,,Y
TRP00000059,DRV001237,RDR003855,1,Chennai,80,82,1.37,2024-01-21 16:46:00,3,1,Wallet,2024-01-21 17:05:00,71.02,7.22,0.0,3.55,81.79,3.3,Y
TRP00000060,DRV000542,RDR001899,2,Chennai,95,59,4.15,2024-02-05 06:43:00,2,2,Wallet,2024-02-05 07:04:00,97.42,1.95,22.69,4.87,126.93,4.1,Y
TRP00000061,DRV001653,RDR001834,1,Pune,70,7,4.94,2024-03-29 05:47:00,1,1,Cash,2024-03-29 06:08:00,126.96,11.15,0.0,6.35,144.46,4.5,N
TRP00000062,DRV000089,RDR001178,1,Bangalore,79,63,3.53,2024-01-26 16:09:00,1,2,Free Ride,2024-01-26 16:33:00,81.77,7.66,41.73,4.09,135.25,,Y
TRP00000063,DRV001495,RDR002114,2,Mumbai,83,8,15.12,2024-04-02 01:19:00,3,4,Free Ride,2024-04-02 02:14:00,233.94,4.74,0.0,11.7,250.38,3.7,Y
